Reported Year,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,7,6,7,19,1,1,1
2015,6,6,6,8,1,1,6
2015,11,27,38,14,1,10,1
2015,3,6,3,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,12,13,25,26,2,4,5
2015,1,6,1,18,1,1,1
2015,3,6,3,14,1,1,1
2015,5,6,5,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,9,13,7,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,5,6,5,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,6,4,14,1,1,4
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,2,1
2015,1,6,1,14,1,1,1
2015,5,6,5,14,1,2,2
2015,4,6,4,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,30,33,14,1,1,6
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,4,6,4,14,1,1,1
2015,1,6,1,14,1,1,1
2015,6,6,6,14,1,1,1
2015,10,6,10,14,1,1,1
2015,3,6,3,31,1,1,1
2015,5,41,46,91,1,46,1
2015,2,6,2,14,1,1,1
2015,1,6,1,2,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,10,10,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,8,6,8,8,5,3,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,5,6,5,49,1,1,1
2015,1,6,1,14,1,1,1
2015,47,6,47,14,1,1,1
2015,2,6,2,14,1,1,1
2015,106,6,106,14,1,1,1
2015,36,6,36,14,1,1,1
2015,2,6,2,14,1,1,1
2015,9,391,400,144,1,1,1
2015,1,6,1,14,1,1,1
2015,1,2,3,14,2,1,1
2015,1,12,12,15,1,1,1
2015,1,41,41,4,1,41,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,0,1,70,1,1,1
2015,750,272,1022,28,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,88,1,1,1
