Reported case,Reported day,Reported Month,Reported Year,Region of Incident,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Source Quality,Migration Route,UNSD Geographical Grouping,Latitude,Length
2019-10-08,10,8,2019,7,1,6,1,14,1,1,1,Fall from trai,"Near Tlacuilolapan, Moloacán, Veracruz, Mexico",Formato 7,3,Central America,Central America,17.978116665155,-94.268896486816
2019-09-08,9,8,2019,3,1,6,1,14,1,1,1,Unknown,"Ranch near Sarita checkpoint, Kenedy County, Texas, USA",AP,3,Northern America,Northern America,27.198533249885003,-97.81265184726601
2019-09-08,9,8,2019,10,1,1,1,19,1,1,1,Drowning,"In the English Channel en route to coast of Kent, England",IOM UK,3,Uncategorized,Uncategorized,50.985813319746,1.2633025484379998
2019-09-08,9,8,2019,3,1,6,1,14,1,1,1,Hyperthermia,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.591246,-111.0891365
2019-09-08,9,8,2019,3,1,6,1,14,1,1,1,Hyperthermia,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.9119734,-111.8821531
2019-08-08,8,8,2019,12,1,6,1,14,1,1,1,Fell from truck,"Kilometer 62 of highway from Ibagué en route to Calarca, Colombia","Venezuela al Dia, Voz de America",3,South America,South America,4.420165536445,-75.38290993457
2019-08-08,8,8,2019,3,1,6,1,14,1,1,1,Unknown,"Near Sullivan City, Hidalgo County, Texas, USA",AP,3,Northern America,Northern America,26.270817082003003,-98.59315875683599
2019-06-08,6,8,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Bowles Ranch, Eagle Pass, Maverick County, Texas, USA",Zócalo,1,Northern America,Northern America,28.749602003299,-100.4536334733
2019-06-08,6,8,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Matamoros, Tamaulipas, Mexico",Noticias24Siete,1,Central America,Central America,25.879783779871996,-97.494390565546
2019-06-08,6,8,2019,4,2,6,2,7,1,2,1,Vehicle Accide,"Ko Kha district, Lampang, Thailand","IOM Thailand, Bangkok Pos",4,South-eastern Asia,South-eastern Asia,18.1288078,99.3451118
2019-05-08,5,8,2019,1,1,2,2,49,1,1,1,Presumed drowing,"Unspecified location between Libya and Lampedusa, Italy","IOM Italy, UNHCR",4,Central Mediterranea,Uncategorized,34.269472676972,12.705224426730002
2019-05-08,5,8,2019,9,1,6,1,14,1,1,1,Sho,"Syria-Turkey border, near Azmarin, Idlib, Syria","The New Arab, Syrian Observer, Washington Pos",3,Western Asia,Western Asia,36.056638025335005,36.379893894294
2019-05-08,5,8,2019,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.4812007,-111.6678407
2019-03-08,3,8,2019,7,1,6,1,14,1,1,1,Hit by trai,"Train tracks near colonia Analco, Ramos Arizpe, Coahuila, Mexico","Excélsior, El Heraldo de Saltillo, Diario de México",3,Central America,Central America,25.556799823202,-100.94782062309
2019-03-08,3,8,2019,7,1,6,1,14,1,1,1,Hit by trai,"Train tracks near Puente Tehuantepec 1, near Canticas, Cosoleacaque, Veracruz, Mexico","Al Calor Político, XEU Noticias",3,Central America,Central America,18.093831289622,-94.570061605679
2019-03-08,3,8,2019,3,1,6,1,8,1,1,1,Dehydratio,"Comanche ranch, Maverick County, Texas, USA","US Border Patrol, Zócalo",5,Northern America,Northern America,28.624902866605,-100.15812917273001
2019-03-08,3,8,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Mission, Hidalgo County, Texas, USA",Chiapas Sin Censura,1,Northern America,Northern America,26.16620416838,-98.33567774676001
2019-02-08,2,8,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near El Patinadero, Parque Viveros, Tamaulipas, Mexico","La Jornada, Vox Pópuli, El Mañana",3,Central America,Central America,27.479457459751,-99.479084887306
2019-02-08,2,8,2019,7,1,6,1,14,1,1,1,Cardiac arres,"5ª Oriente between 7ª and 9ª Norte, Tapachula, Chiapas, Mexico","Fiscalía General del Estado, ADN Cuba, Debate",5,Central America,Central America,14.9055567,-92.2634136
2019-02-08,2,8,2019,3,1,6,1,1,1,1,1,Drowning,"Río Bravo, near Presa Internacional Anzaldúas, Reynosa, Tamaulipas, Mexico","Excélsior, Milenio",3,Central America,Central America,26.13792749976,-98.335083318429
2019-02-08,2,8,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Centro Recreativo La Playita, Reynosa, Tamaulipas, Mexico","Multimedios, Milenio",3,Central America,Central America,26.143086411111003,-98.328974527383
2019-02-08,2,8,2019,3,1,6,1,14,1,1,1,Dehydratio,"Kunafin Junfin ranch, near Normandy, Maverick County, Texas, USA","La Rancherita del Aire, Zócalo",3,Northern America,Northern America,28.908961809038,-100.60010718771
2019-02-08,2,8,2019,1,1,6,1,14,1,1,1,Drowning,"Body recovered on Plage Bouyafar, near Nador, Morocco (Alboran sea)",Association Marocaine des Droits Humains - Section Nador,4,Western Mediterranea,Uncategorized,35.244430799903,-3.171523489268
2019-02-08,2,8,2019,1,1,6,1,14,1,1,1,Drowning,"Body recovered off Cala del Desnarigado, Ceuta, Spai","El Faro de Ceuta, Ceuta TV",3,Western Mediterranea,Uncategorized,35.892832797356,-5.281629242047
2019-01-08,1,8,2019,3,1,6,1,1,1,1,1,Sickness,"Died at the Lordsburg Border Patrol Station in New Mexico, USA, just hours after being apprehended near El Paso",US Border Patrol,5,Northern America,Northern America,32.34823,-108.7454867
2019-01-08,1,8,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Nuevo Laredo, Tamaulipas, Mexico","La Jornada, Vox Pópuli",3,Central America,Central America,27.476619774726,-99.48180895115601
2019-07-31,31,7,2019,7,1,6,1,9,1,1,1,Sho,"Train tracks near Casa del Migrante de Saltillo, Coahuila, Mexico",Casa del Migrante de Saltillo,4,Central America,Central America,25.406105756861,-101.02381786388
2019-07-31,31,7,2019,3,1,6,1,14,1,1,1,Dehydratio,"La Paloma ranch, near Highway 57, Maverick County, Texas, USA","La Rancherita del Aire, Zócalo",3,Northern America,Northern America,28.788046840156003,-100.39934005131
2019-07-31,31,7,2019,10,1,6,1,14,1,1,1,Unknown,"Velika Kladuša, Bosnia and Herzegovina, near border with Croatia","AP, ANSA",3,Western Balkans,Southern Europe,45.188659376355,15.792659899916
2019-07-31,31,7,2019,10,1,6,1,14,1,1,1,Hit by trai,"Train tracks near Bihac, Bosnia and Herzegovina","AP, ANSA",3,Western Balkans,Southern Europe,44.819532705347,15.886675625029
2019-07-31,31,7,2019,7,1,6,1,14,1,1,1,Hit by trai,"Train tracks near colonia Adolfo López Mateos, Coatzacoalcos, Veracruz, Mexico","Imagen del Golfo, Al Calor Político",3,Central America,Central America,18.12294711358,-94.428417813531
2019-07-31,31,7,2019,3,2,6,2,14,1,1,1,Unknown,"Different locations in Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,27.081117540308,-98.200171188456
2019-07-30,30,7,2019,6,1,15,15,78,1,1,1,"Dehydration, Starvation, Drowning","Gulf of Aden, off the coast of Al Buraiqeh, Yeme",IOM Yeme,4,Western Asia,Western Asia,12.666870541656001,44.740286808419
2019-07-29,29,7,2019,3,1,6,1,1,1,1,1,Drowning,"Canal near the César Chávez Border Highway at Yarbrough, El Paso, El Paso County, Texas, USA","El Paso Police Department, El Paso Times, El Diario, Prensa Libre",5,Northern America,Northern America,31.710822977115,-106.36840402653
2019-07-29,29,7,2019,3,1,6,1,2,1,1,1,Drowning,"Río Bravo, near Ejido Madero del Río, Ciudad Acuña, Coahuila, Mexico","La Voz de Coahuila, El Siglo de Torreó",3,Central America,Central America,29.243763633996,-100.79542535308
2019-07-29,29,7,2019,3,1,6,1,14,1,1,1,Skeletal remains,"Ranch near the Falfurrias Border Patrol Checkpoint on Highway 281, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,27.009070649842,-98.076525118501
2019-07-28,28,7,2019,10,1,6,1,14,1,1,1,Drowning,"Evros/Meriç river, near Aristino, Greece",E-Evros,1,Southern Europe,Southern Europe,40.840002243105005,26.215655703007002
2019-07-28,28,7,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Calle Chihuahua, Nuevo Laredo, Tamaulipas, Mexico","Vox Pópuli, Milenio",3,Central America,Central America,27.471696385531,-99.483042038298
2019-07-28,28,7,2019,3,1,6,1,14,1,1,1,Unknown,"Ranch north of Falfurrias, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,27.276826238812,-98.06146879587799
2019-07-27,27,7,2019,3,1,6,1,1,1,1,1,Dehydratio,"Body recovered along the boundary of the Barry M. Goldwater Bombing Range, Yuma County, Arizona, USA",KYMA,1,Northern America,Northern America,32.403532528465,-113.70584393082001
2019-07-27,27,7,2019,3,4,6,4,14,1,1,1,Drowning,"El Centro, Imperial County, California, USA",Desert Su,1,Northern America,Northern America,32.757037478041,-115.56639198099
2019-07-25,25,7,2019,1,69,81,150,134,1,1,1,Drowning,"Unspecified location off the coast of Al-Khums, Libya","IOM Libya, UNHCR Libya, MSF",4,Central Mediterranea,Uncategorized,32.834432719847996,14.624344026235
2019-07-25,25,7,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Santa Ana National Wildlife Refugee, Hidalgo County, Texas, USA","El Mañana, Zócalo, Noticias al Día",3,Northern America,Northern America,26.054200041735,-98.141739029125
2019-07-24,24,7,2019,1,1,6,1,14,1,1,1,Drowning,"Off the coast of Al-Hoceima, Morocco (Alboran Sea)",Salua El Omari,1,Western Mediterranea,Uncategorized,35.303407863438004,-3.9257959002050002
2019-07-24,24,7,2019,3,1,6,1,14,1,1,1,Unknown,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.0577019,-112.1430215
2019-07-23,23,7,2019,1,1,6,1,14,1,1,1,Drowning,"Off the coast of El Tarajal, Ceuta, Spai","Europa Press, El Faro de Ceuta",3,Western Mediterranea,Uncategorized,35.872671290563,-5.34069222775
2019-07-23,23,7,2019,1,1,1,1,8,1,1,1,Drowning,"Off the coast of Bodrum, Turkey","Turkish Coast Guard via IOM Turkey, Alarm Phone, Daily Sabah",5,Eastern Mediterranea,Uncategorized,36.943265558429,27.403303047554
2019-07-23,23,7,2019,3,1,6,1,14,1,1,1,Unknown,"Ranch near Encino, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,26.929552244014,-98.242094456034
2019-07-22,22,7,2019,3,2,6,2,14,1,1,1,Dehydratio,"Desert near Arizona State Route 86, Pima County, Arizona, USA",Águilas del Desierto via Phoenix New Times,1,Northern America,Northern America,31.994554632982997,-112.00608336258
2019-07-22,22,7,2019,1,1,1,1,14,1,1,1,Presumed drowing,"Disappeared while swimming around the border fence between Morocco and El Tarajal, Ceuta, Spai",El Faro de Ceuta,1,Western Mediterranea,Uncategorized,35.870741242641,-5.341660207254
2019-07-22,22,7,2019,3,1,6,1,14,1,1,1,Skeletal remains,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.3739785,-111.4572533
2019-07-22,22,7,2019,3,1,6,1,14,1,1,1,Unknown,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.3318032,-112.5245093
2019-07-22,22,7,2019,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.1292079,-111.1469477
2019-07-22,22,7,2019,3,1,6,1,14,1,1,1,Unknown,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.1292079,-111.1469477
2019-07-21,21,7,2019,3,1,6,1,14,1,1,1,Drowning,"Canal in ranch in Maverick County, Texas, USA","La Rancherita del Aire, Zócalo",3,Northern America,Northern America,28.715580848881,-100.39436424104
2019-07-20,20,7,2019,3,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Hospital General de Ciudad Juárez, Chihuaha, México","El Diario, Reforma",3,Central America,Central America,31.7380543,-106.4562579
2019-07-20,20,7,2019,10,1,6,1,14,1,1,1,Hit by trai,"Train tracks along the railway line Thessaloniki-Alexandroupolis, near Xanthi, Greece","Refugee Support Aegean,  Efsy",4,Southern Europe,Southern Europe,40.6400629,22.9444191
2019-07-20,20,7,2019,3,1,6,1,2,1,1,1,Multiple organ failure,"Hospital General Doctor Salvador Chavarría in Piedras Negras, Coahuila, Mexico - after being rescued from the Río Bravo","La Prensa de Monclova, El Diario de Coahuila, Zócalo",3,Central America,Central America,28.661188,-100.5406864
2019-07-20,20,7,2019,3,1,6,1,14,1,1,1,Hypothermia,"Near El Centro, Imperial County, California, USA",The San Diego Union Tribune,1,Northern America,Northern America,32.756800460358,-115.64338892441
2019-07-20,20,7,2019,3,1,6,1,14,1,1,1,Unknown,"Body recovered near Phoenix, Arizona, USA","CONAMIGUA, Todo Nocitas",5,Northern America,Northern America,33.179906060642,-112.24157880391
2019-07-20,20,7,2019,3,1,6,1,14,1,1,1,Unknown,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.5735732,-111.9179447
2019-07-19,19,7,2019,3,1,6,1,14,1,1,1,Stabbed,"Hospital de la Familia -  - after being stabbed in colonia Chaveña, Ciudad Juárez, Chihuahua, México","Noticiero Universal, Periódico Cubano",3,South America,South America,31.7300671,-106.4832893
2019-07-19,19,7,2019,7,1,6,1,14,1,1,1,Sho,"Near border bridge El Ceibo, Tenosique, Tabasco, Mexico - near border with Guatemala","XEVA Noticias, El Piñero",3,Central America,Central America,17.258728416225,-91.01268890888599
2019-07-19,19,7,2019,3,1,6,1,14,1,1,1,Skeletal remains,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.5355483,-111.3862715
2019-07-18,18,7,2019,9,16,6,16,50,6,6,5,Vehicle Accide,"Road near Ilıkaynak district, İpekyolu, Van province, Turkey","Daily Sabah, L'Orient Le Jour, Sabah",3,Western Asia,Western Asia,38.74964,43.613323
2019-07-18,18,7,2019,12,1,6,1,1,1,1,1,Hit by truck,"Road in Pamplona, Santander, Colombia","El Nacional, La Opinión, El Periodiquito",3,South America,South America,7.37823,-72.6503369
2019-07-18,18,7,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, nea Reynosa, Tamaulipas, Mexico","López Doriga, El Mercurio de Tamaulipas",3,Central America,Central America,25.981681,-98.0796846
2019-07-18,18,7,2019,3,1,6,1,14,1,1,1,Unknown,"Ranch southwest of Falfurrias, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbar,1,Northern America,Northern America,27.137592559984004,-98.23038359079901
2019-07-17,17,7,2019,11,1,6,1,14,1,1,1,Sho,"Unspecified location on the Iran-Pakistan border, Sistan and Baluchestan, Ira","Pakistan Today, Daily Balochistan Express",3,South Asia,South Asia,26.0953381,61.8462235
2019-07-17,17,7,2019,3,1,6,1,14,1,1,1,Unknown,"Ranch southwest of the Falfurrias Border Patrol Checkpoint on Highway 281, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbar,1,Northern America,Northern America,26.985855502773,-98.19771805063
2019-07-16,16,7,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near International Bridge 1, Eagle Pass, Maverick County, Texas, USA",Zócalo,1,Northern America,Northern America,28.705314967217003,-100.51161368503
2019-07-16,16,7,2019,3,2,6,2,14,1,2,1,Drowning,"Río Bravo near La Amistad Dam, Ciudad Acuña, Coahuila, Mexico","Zócalo, Noticias del Sol de la Laguna, El Universal",3,Central America,Central America,29.447929724258,-101.05993124618999
2019-07-16,16,7,2019,1,1,6,1,73,1,1,1,Drowning,"Unspecified location in the Alboran Sea, between Morocco and Spai","Caminando Fronteras, Alarm Phone",4,Western Mediterranea,Uncategorized,36.196379448452,-2.452770359719
2019-07-15,15,7,2019,3,1,6,1,14,1,1,1,Unknown,"Ranch southwest of the Falfurrias Border Patrol Checkpoint on Highway 281, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,26.975792985096003,-98.18707504525801
2019-07-15,15,7,2019,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.0577019,-112.1430215
2019-07-15,15,7,2019,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.7972562,-111.8134088
2019-07-14,14,7,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Brownsville, Cameron County, Texas, USA","El Sol de Tampico, Hoy Tamaulipas",3,Northern America,Northern America,25.90096210947,-97.52563309963399
2019-07-14,14,7,2019,3,1,6,1,14,1,1,1,Unknown,"Ranch west of Falfurrias, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,27.208588228963,-98.238623336893
2019-07-13,13,7,2019,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.0577019,-112.1430215
2019-12-07,12,7,2019,3,1,6,1,14,1,1,1,Drowning,"Canal Anzaldúas, Reynosa, Tamaulipas, Mexico","El Mañana, El Sol de Tampico",3,Central America,Central America,26.13682913628,-98.33752926587499
2019-12-07,12,7,2019,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.3318032,-112.5245093
2019-12-07,12,7,2019,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.0577019,-112.1430215
2019-11-07,11,7,2019,7,1,6,1,14,1,1,1,Hit by trai,"Train tracks near Las Huiberas, Cosoleacaque, Veracruz, Mexico","Imagen del Golfo, Qhubochano",3,Central America,Central America,18.02321967227,-94.641773520189
2019-11-07,11,7,2019,3,1,6,1,14,1,1,1,Unknown,"Ranch northeast of the Falfurrias Border Patrol Checkpoint on Highway 281, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,27.067851841443,-98.073091890962
2019-09-07,9,7,2019,3,1,6,1,14,1,1,1,Unknown,"Near Mercado Zaragoza, Piedras Negras, Coahuila, Mexico",Zócalo,1,Central America,Central America,28.7009447,-100.514561
2019-08-07,8,7,2019,3,1,6,1,14,1,1,1,Drowning,"Morelos Dam, Vicente Guerrero, Mexicali, Baja California, Mexico","Uni Mexicali, El Imparcial, Radio Patr",3,Central America,Central America,32.7053029,-114.7288298
2019-08-07,8,7,2019,8,8,6,8,8,3,5,1,Vehicle Accide,"Van fell into irrigation canal near Barrero Adentro, Navarrete, Dominican Republic","Listin Diario, EFE, Noticias Sin	",3,Caribbea,Caribbea,19.5594332,-70.8693486
2019-08-07,8,7,2019,12,1,6,1,14,1,1,1,Presumed vehicle accide,"Near Pan-American Highwaay, La Legua, Piura, Peru",Diario Peru	,3,South America,South America,-5.2273198,-80.6550001
